データ日付,終値,始値,高値,安値
2022/11/2,27663.39,27562.3,27692.55,27546.88
2022/11/4,27199.74,27371.89,27389.3,27032.02
2022/11/7,27527.64,27406.78,27578.01,27357.53
2022/11/8,27872.11,27718.84,27943.27,27704.64
2022/11/9,27716.43,27884.55,27926.52,27688.86
2022/11/10,27446.1,27459.08,27485.38,27370.62
2022/11/11,28263.57,27868.69,28329.54,27837.09
2022/11/14,27963.47,28277.64,28305.04,27963.47
2022/11/15,27990.17,27940.26,28038.63,27903.27
2022/11/16,28028.3,28020.49,28069.25,27743.15
2022/11/17,27930.57,27952.21,28029.62,27910.01
2022/11/18,27899.77,28009.82,28045.44,27877.78
2022/11/21,27944.79,27982,28007.06,27846.3
2022/11/22,28115.74,28059.51,28203.35,28038.16
2022/11/24,28383.09,28373.72,28502.29,28363.66
2022/11/25,28283.03,28398.77,28399.88,28263.6
2022/11/28,28162.83,28220.56,28238.5,28046.32
2022/11/29,28027.84,27991.5,28055.91,27899.98
2022/11/30,27968.99,27886.67,27972.89,27802.71
2022/12/1,28226.08,28273.13,28423.46,28226.08
2022/12/2,27777.9,27983.18,27983.18,27662.12
2022/12/5,27820.4,27752.99,27854.11,27700.86
2022/12/6,27885.87,27704.06,27934.07,27698.31
2022/12/7,27686.4,27670.29,27786.25,27646.78
2022/12/8,27574.43,27622.3,27643.64,27415.66
2022/12/9,27901.01,27633.96,27952.8,27633.96
2022/12/12,27842.33,27741.1,27865.72,27734.66
2022/12/13,27954.85,28067.37,28116.56,27907.49
2022/12/14,28156.21,28005.03,28195.69,27993.78
2022/12/15,28051.7,27991.14,28163.17,27987.54
2022/12/16,27527.12,27706.7,27713.04,27488.83
2022/12/19,27237.64,27279.92,27349.58,27165.78
2022/12/20,26568.03,27257.35,27339.49,26416.91
2022/12/21,26387.72,26547.17,26616.28,26269.8
2022/12/22,26507.87,26552.43,26585.28,26399.31
2022/12/23,26235.25,26207.77,26291.98,26106.38
2022/12/26,26405.87,26299.54,26438.65,26294.85
2022/12/27,26447.87,26570.78,26620.49,26447.87
2022/12/28,26340.5,26309.34,26354.27,26199.67
2022/12/29,26093.67,26074.9,26126.7,25953.92
2022/12/30,26094.5,26288,26321.37,26067.92
2023/1/4,25716.86,25834.93,25840.68,25661.89
2023/1/5,25820.8,25825.5,25947.1,25750.46
2023/1/6,25973.85,25740.08,26034.06,25719.61
2023/1/10,26175.56,26176.61,26316.66,26132.8
2023/1/11,26446,26362.21,26479.99,26332.05
2023/1/12,26449.82,26524.94,26547.61,26381.93
2023/1/13,26119.52,26391.78,26409.21,26090.84
2023/1/16,25822.32,25836.67,25938.04,25748.1
2023/1/17,26138.68,25915.51,26198.69,25895.3
2023/1/18,26791.12,26251.34,26816.68,26211.84
2023/1/19,26405.23,26541.08,26592.87,26368.97
2023/1/20,26553.53,26346.69,26553.53,26320.96
2023/1/23,26906.04,26880.21,26938.28,26788.76
2023/1/24,27299.19,27150.43,27381,27150.43
2023/1/25,27395.01,27175.88,27473.9,27175.88
2023/1/26,27362.75,27444.64,27502.15,27284.08
2023/1/27,27382.56,27428.41,27452.67,27326.91
2023/1/30,27433.4,27384.77,27486.42,27337.25
2023/1/31,27327.11,27458.56,27494.17,27302.22
2023/2/1,27346.88,27483.41,27547.67,27322.79
2023/2/2,27402.05,27453.67,27472.44,27338.43
2023/2/3,27509.46,27455.03,27612.57,27445.69
2023/2/6,27693.65,27764.66,27821.22,27656.47
2023/2/7,27685.47,27744.9,27814.96,27662.11
2023/2/8,27606.46,27690.74,27719.45,27458.53
2023/2/9,27584.35,27453.4,27635.38,27424.69
2023/2/10,27670.98,27711.25,27814.02,27609.33
2023/2/13,27427.32,27550.35,27570.32,27266.94
2023/2/14,27602.77,27705.37,27721.82,27553.18
2023/2/15,27501.86,27686.01,27720.27,27444.13
2023/2/16,27696.44,27654.72,27727.66,27597.12
2023/2/17,27513.13,27484.6,27608.59,27466.61
2023/2/20,27531.94,27497.13,27531.94,27426.48
2023/2/21,27473.1,27486.09,27538.29,27359.12
2023/2/22,27104.32,27265.99,27300.53,27046.08
2023/2/24,27453.48,27144.72,27465.9,27128.32
2023/2/27,27423.96,27322.73,27456.22,27292.74
2023/2/28,27445.56,27515.34,27585.17,27400.36
2023/3/1,27516.53,27363.57,27530.76,27305.37
2023/3/2,27498.87,27564.82,27617.8,27408.54
2023/3/3,27927.47,27683.26,27961.21,27655.34
2023/3/6,28237.78,28182.31,28288.62,28153.82
2023/3/7,28309.16,28202.59,28398.27,28202.59
2023/3/8,28444.19,28237.21,28469.41,28232.68
2023/3/9,28623.15,28648.11,28734.79,28558.88
2023/3/10,28143.97,28385.29,28424.24,28118.74
2023/3/13,27832.96,27886.21,27906.97,27631.53
2023/3/14,27222.04,27455.95,27455.95,27104.75
2023/3/15,27229.48,27421.66,27424.94,27105.99
2023/3/16,27010.61,26796.67,27057.54,26632.92
2023/3/17,27333.79,27232.23,27356.15,27071.71
2023/3/20,26945.67,27253.73,27367.18,26945.67
2023/3/22,27466.61,27298.15,27520.97,27267.26
2023/3/23,27419.61,27232.97,27461.97,27175.63
2023/3/24,27385.25,27368.62,27397.29,27257.44
2023/3/27,27476.87,27482.39,27543.48,27359.72
2023/3/28,27518.25,27573.82,27603.45,27432.76
2023/3/29,27883.78,27549.37,27897.72,27505.48
2023/3/30,27782.93,27827.89,27876.38,27630.55
2023/3/31,28041.48,28009.22,28124.62,27986.62
2023/4/3,28188.15,28203.35,28258.91,28120.71
2023/4/4,28287.42,28213.93,28287.42,28139.12
2023/4/5,27813.26,28111.04,28133.57,27788.77
2023/4/6,27472.63,27589.14,27609.86,27427.66
2023/4/7,27518.31,27554.37,27591.15,27456.25
2023/4/10,27633.66,27658.52,27737.49,27597.18
2023/4/11,27923.37,27895.9,28068.39,27854.82
2023/4/12,28082.7,27985.93,28121.46,27983.97
2023/4/13,28156.97,27952.58,28163.87,27952.01
2023/4/14,28493.47,28321.54,28515.51,28282.82
2023/4/17,28514.78,28537.99,28599.75,28414.98
2023/4/18,28658.83,28567.54,28698.22,28520.76
2023/4/19,28606.76,28619.84,28677.22,28531.54
2023/4/20,28657.57,28472,28694.25,28442.45
2023/4/21,28564.37,28590.55,28778.37,28527.8
2023/4/24,28593.52,28631.78,28680.65,28567.24
2023/4/25,28620.07,28697.73,28806.69,28609.77
2023/4/26,28416.47,28478.52,28551.61,28319.77
2023/4/27,28457.68,28340.59,28459.73,28241.67
2023/4/28,28856.44,28705.91,28879.24,28499.51
2023/5/1,29123.18,29058.05,29145.89,29016.83
2023/5/2,29157.95,29278.8,29278.8,29083.13
2023/5/8,28949.88,29095.46,29144.12,28931.81
2023/5/9,29242.82,29020.63,29262.36,29020.63
2023/5/10,29122.18,29189.41,29195.16,29070.11
2023/5/11,29126.72,29110.79,29165.59,29028.71
2023/5/12,29388.3,29199.3,29426.06,29141.52
2023/5/15,29626.34,29547.04,29629.47,29475.97
2023/5/16,29842.99,29838.01,29916.56,29779.07
2023/5/17,30093.59,29912.44,30115.32,29912.44
2023/5/18,30573.93,30432.54,30667.13,30381.9
2023/5/19,30808.35,30847.36,30924.57,30679.16
2023/5/22,31086.82,30735.71,31086.82,30689.27
2023/5/23,30957.77,31245.72,31352.53,30828.73
2023/5/24,30682.68,30728.69,30856.92,30566.83
2023/5/25,30801.13,30599.27,30889.98,30558.14
2023/5/26,30916.31,30909.61,31101.6,30864.49
2023/5/29,31233.54,31388.01,31560.43,31164
2023/5/30,31328.16,31196.24,31374.83,31064.19
2023/5/31,30887.88,31057.09,31142.78,30785.98
2023/6/1,31148.01,30886.01,31185.05,30853.44
2023/6/2,31524.22,31300.72,31555.54,31257.01
2023/6/5,32217.43,31864.12,32217.43,31798.72
2023/6/6,32506.78,31988.37,32534.47,31933.87
2023/6/7,31913.74,32618.78,32708.53,31913.74
2023/6/8,31641.27,31877.79,32035.95,31420.45
2023/6/9,32265.17,31927.38,32304.04,31898.75
2023/6/12,32434,32412.12,32517.68,32280.54
2023/6/13,33018.65,32668.95,33127.36,32638.21
2023/6/14,33502.42,33331.47,33665.52,33203.95
2023/6/15,33485.49,33493.69,33767.13,33386.01
2023/6/16,33706.08,33399.15,33772.76,33186.93
2023/6/19,33370.42,33768.69,33772.89,33231.56
2023/6/20,33388.91,33269.57,33474.74,33089.02
2023/6/21,33575.14,33200.63,33657.87,33154.68
2023/6/22,33264.88,33438.01,33641.46,33232.19
2023/6/23,32781.54,33458.35,33533.47,32575.56
2023/6/26,32698.81,32647.08,32884.73,32392.72
2023/6/27,32538.33,32629.96,32689.1,32306.99
2023/6/28,33193.99,32807.84,33193.99,32642.87
2023/6/29,33234.14,33306.84,33527.98,33185.2
2023/6/30,33189.04,33068.36,33232.89,32918.77
2023/7/3,33753.33,33517.6,33762.81,33510.55
2023/7/4,33422.52,33512.26,33576.45,33338.78
2023/7/5,33338.7,33165.06,33389.22,33041.14
2023/7/6,32773.02,33058.4,33079.45,32637.72
2023/7/7,32388.42,32450.64,32730.25,32327.9
2023/7/10,32189.73,32393.46,32558.98,32065.63
2023/7/11,32203.57,32434.67,32468.7,32084.42
2023/7/12,31943.93,32280.05,32312.03,31791.71
2023/7/13,32419.33,32106.05,32484.4,31952.98
2023/7/14,32391.26,32587.9,32780.63,32225.37
2023/7/18,32493.89,32457.18,32714.59,32338.3
2023/7/19,32896.03,32812.36,32896.03,32671.03
2023/7/20,32490.52,32803.35,32861.02,32462.86
2023/7/21,32304.25,32336.86,32462.44,32080.95
2023/7/24,32700.94,32648.14,32793.77,32554.46
2023/7/25,32682.51,32705.39,32715.56,32509.94
2023/7/26,32668.34,32704.96,32724.25,32488.52
2023/7/27,32891.16,32523.69,32938.59,32503.69
2023/7/28,32759.23,32444.42,32846.97,32037.55
2023/7/31,33172.22,33128.83,33402.08,33025.93
2023/8/1,33476.58,33292.31,33488.77,33203.88
2023/8/2,32707.69,33123.12,33158.58,32628.29
2023/8/3,32159.28,32375.85,32467.06,32142.25
2023/8/4,32192.75,32019.06,32294.7,31934.35
2023/8/7,32254.56,31921.28,32306.87,31830.23
2023/8/8,32377.29,32430.61,32539.88,32238.59
2023/8/9,32204.33,32346.32,32407.85,32175.64
2023/8/10,32473.65,32015.96,32504.85,32015.96
2023/8/14,32059.91,32456.72,32613.99,32031.54
2023/8/15,32238.89,32372.53,32403.93,32217.52
2023/8/16,31766.82,31965.58,31997.28,31766.82
2023/8/17,31626,31621.98,31704.08,31309.68
2023/8/18,31450.76,31321.26,31644.89,31275.25
2023/8/21,31565.64,31552.85,31758.7,31409.86
2023/8/22,31856.71,31792.6,31906.1,31693.76
2023/8/23,32010.26,31717.91,32039.6,31717.91
2023/8/24,32287.21,32130.52,32297.91,32063.14
2023/8/25,31624.28,31840.91,31885.53,31572.06
2023/8/28,32169.99,31915.68,32205.48,31881.93
2023/8/29,32226.97,32280.57,32389.12,32186.57
2023/8/30,32333.46,32432.95,32557.45,32300.56
2023/8/31,32619.34,32361.02,32692.76,32359.15
2023/9/1,32710.62,32521.15,32845.46,32499.44
2023/9/4,32939.18,32797.32,32939.18,32714.94
2023/9/5,33036.76,32941.41,33036.76,32784.32
2023/9/6,33241.02,33115.06,33282.15,33088.22
2023/9/7,32991.08,33118.55,33322.45,32986.35
2023/9/8,32606.84,32916.25,32920.43,32512.8
2023/9/11,32467.76,32690.54,32746.14,32391.69
2023/9/12,32776.37,32629.16,32799.69,32486.48
2023/9/13,32706.52,32742.29,32872.44,32616.65
2023/9/14,33168.1,32925.54,33244.45,32851.24
2023/9/15,33533.09,33428.44,33634.31,33391.46
2023/9/19,33242.59,33296.23,33337.23,33128.86
2023/9/20,33023.78,33261.35,33267.14,32988.65
2023/9/21,32571.03,32865.56,32939.89,32550.65
2023/9/22,32402.41,32189.32,32535.67,32154.53
2023/9/25,32678.62,32517.26,32722.22,32388.28
2023/9/26,32315.05,32640.05,32643.41,32315.05
2023/9/27,32371.9,32023.37,32371.9,31960.32
2023/9/28,31872.52,32119.37,32164.45,31674.42
2023/9/29,31857.62,32018.64,32027.46,31717.74
2023/10/2,31759.88,32101.97,32401.58,31759.88
2023/10/3,31237.94,31607.97,31607.97,31157.4
2023/10/4,30526.88,30765.03,30830.85,30487.67
2023/10/5,31075.36,30733.65,31083.9,30565.32
2023/10/6,30994.67,31003.95,31160.45,30928.16
2023/10/10,31746.53,31314.67,31818.26,31314.67
2023/10/11,31936.51,31847.1,32037.07,31804.09
2023/10/12,32494.66,32120.94,32494.66,32120.94
2023/10/13,32315.99,32328.39,32533.08,32249.03
2023/10/16,31659.03,31983.04,31999.79,31564.31
2023/10/17,32040.29,32063.79,32260.77,31901.39
2023/10/18,32042.25,32033.81,32101.47,31866.95
2023/10/19,31430.62,31579.54,31669.42,31399.17
2023/10/20,31259.36,31164.89,31428.97,31093.9
2023/10/23,30999.55,31151.98,31177.41,30974.26
2023/10/24,31062.35,31157.01,31210.26,30551.67
2023/10/25,31269.92,31302.51,31466.92,31195.58
2023/10/26,30601.78,30902.92,30943.33,30567.61
2023/10/27,30991.69,30713.79,31081.48,30687.33
2023/10/30,30696.96,30663.48,30762.5,30538.29
2023/10/31,30858.85,30694.96,30973.66,30552.65
2023/11/1,31601.65,31311.22,31601.65,31301.51
2023/11/2,31949.89,31987.02,32087.13,31878.36
2023/11/6,32708.48,32450.82,32766.54,32395.5
2023/11/7,32271.82,32551.77,32591.11,32250.93
2023/11/8,32166.48,32457.23,32512.17,32049.34
2023/11/9,32646.46,32316.39,32723.71,32193.2
2023/11/10,32568.11,32491.24,32598.93,32248.24
2023/11/13,32585.11,32818.15,32913.31,32499.28
2023/11/14,32695.93,32760.51,32836.27,32667.4
2023/11/15,33519.7,33112.31,33556.52,33096.93
2023/11/16,33424.41,33399.59,33614.13,33233.84
2023/11/17,33585.2,33344.85,33599.63,33263.67
2023/11/20,33388.03,33559.62,33853.46,33352.69
2023/11/21,33354.14,33453.15,33460.32,33254.73
2023/11/22,33451.83,33182.99,33593.5,33182.99
2023/11/24,33625.53,33752.05,33817.86,33622.57
2023/11/27,33447.67,33710.03,33811.41,33397.04
2023/11/28,33408.39,33520.39,33545.85,33298.04
2023/11/29,33321.22,33244.43,33516.23,33179.07
2023/11/30,33486.89,33260.14,33486.89,33161.07
2023/12/1,33431.51,33537.44,33551.57,33397.42
2023/12/4,33231.27,33318.07,33324.38,33023.04
2023/12/5,32775.82,33022.38,33089.82,32726.68
2023/12/6,33445.9,32928.92,33452.13,32914.09
2023/12/7,32858.31,33165.72,33195.87,32814.69
2023/12/8,32307.86,32600.47,32604.35,32205.38
2023/12/11,32791.8,32665.09,32933.08,32650.1
2023/12/12,32843.7,33107.65,33172.13,32800.24
2023/12/13,32926.35,32973.47,33104.47,32864.38
2023/12/14,32686.25,33032.3,33120.55,32515.04
2023/12/15,32970.55,32760.56,33122.33,32732.66
2023/12/18,32758.98,32769.23,32790.58,32541.23
2023/12/19,33219.39,32774.21,33219.39,32654.43
2023/12/20,33675.94,33467.32,33824.06,33467.32
2023/12/21,33140.47,33276.81,33337.84,33097.79
2023/12/22,33169.05,33257.95,33375.19,33151.7
2023/12/25,33254.03,33414.51,33414.51,33221.57
2023/12/26,33305.85,33295.68,33312.26,33181.36
2023/12/27,33681.24,33532.97,33755.75,33521.52
2023/12/28,33539.62,33477.47,33571.73,33411.24
2023/12/29,33464.17,33458.64,33652.71,33305.17
2024/1/4,33288.29,33193.05,33299.39,32693.18
2024/1/5,33377.42,33397.52,33568.04,33257.43
2024/1/9,33763.18,33704.83,33990.28,33600.32
2024/1/10,34441.72,33896.33,34539.02,33885.74
2024/1/11,35049.86,34871.33,35157.56,34849.57
2024/1/12,35577.11,35601.65,35839.65,35362.24
2024/1/15,35901.79,35634.12,36008.23,35544.32
2024/1/16,35619.18,35909.2,35955.68,35587.53
2024/1/17,35477.75,35850.18,36239.22,35476.52
2024/1/18,35466.17,35371.25,35728.09,35371.25
2024/1/19,35963.27,35913.72,36076.23,35790.07
2024/1/22,36546.95,36294.1,36571.8,36225.91
2024/1/23,36517.57,36605.3,36984.51,36436.07
2024/1/24,36226.48,36415.66,36471.39,36104.89
2024/1/25,36236.47,36213.14,36312.36,35912.54
2024/1/26,35751.07,36003,36060.4,35687.58
2024/1/29,36026.94,35814.29,36186.87,35813.77
2024/1/30,36065.86,36196.64,36249.03,36039.31
2024/1/31,36286.71,35747.89,36292.53,35704.58
2024/2/1,36011.46,36008.56,36146.36,35924.6
2024/2/2,36158.02,36249.99,36441.09,36083.61
2024/2/5,36354.16,36419.34,36452.62,36213
2024/2/6,36160.66,36249.08,36294.48,36065.98
2024/2/7,36119.92,36002.99,36195.5,35854.63
2024/2/8,36863.28,36258.84,36956.97,36206.2
2024/2/9,36897.42,36915.44,37287.26,36807.03
